week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-02-26/2024-03-03,2024-03-01,2024-03-03,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-04/2024-03-10,2024-03-04,2024-03-10,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-11/2024-03-17,2024-03-11,2024-03-17,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-18/2024-03-24,2024-03-18,2024-03-24,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-25/2024-03-31,2024-03-25,2024-03-31,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-01/2024-04-07,2024-04-01,2024-04-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-08/2024-04-14,2024-04-08,2024-04-14,100000.0,99705.10966659077,-0.0029489033340923676,-0.29489033340923676,0,0.0,0.014157397839988217,0.00294890333409232,0.294890333409232
2024-04-15/2024-04-21,2024-04-15,2024-04-21,99663.70906234272,99832.90950179585,0.0016977136516893587,0.16977136516893587,0,0.0,0.01698987443847215,0.001731311925227208,0.1731311925227208
2024-04-22/2024-04-28,2024-04-22,2024-04-28,100011.10911727436,100721.20906234272,0.007100210679952479,0.7100210679952479,0,0.0,0.09171251885034769,0.0051559040658288365,0.5155904065828837
2024-04-29/2024-05-05,2024-04-29,2024-05-05,100417.90950179585,100896.71016097553,0.004768080331040148,0.47680803310401476,0,0.0,0.024424291431509947,0.0,0.0
2024-05-06/2024-05-12,2024-05-06,2024-05-12,101174.66459038359,100983.52454521757,-0.0018892085873460918,-0.18892085873460918,0,0.0,0.020631604516299265,0.0023662897258440005,0.23662897258440005
2024-05-13/2024-05-19,2024-05-13,2024-05-19,101099.18027641875,101718.7724089871,0.006128557431171133,0.6128557431171133,0,0.0,0.011873206786621928,0.0,0.0
2024-05-20/2024-05-26,2024-05-20,2024-05-26,101807.32114555937,101824.94004204375,0.000173061193302404,0.0173061193302404,0,0.0,0.020103001805838076,0.00314020892552349,0.314020892552349
2024-05-27/2024-06-02,2024-05-27,2024-06-02,101824.94004204375,101543.03241875273,-0.002768551822123544,-0.2768551822123544,0,0.0,0.022273489897601098,0.004058999724368093,0.4058999724368093
2024-06-03/2024-06-09,2024-06-03,2024-06-09,101576.68569247887,101656.73918979333,0.00078810897174586,0.078810897174586,0,0.0,0.019728457753279683,0.002244718576549746,0.2244718576549746
2024-06-10/2024-06-16,2024-06-10,2024-06-16,102622.36919467614,103713.75750081078,0.010634994248322815,1.0634994248322815,0,0.0,0.05853322910854196,0.0011257913356359497,0.11257913356359497
2024-06-17/2024-06-23,2024-06-17,2024-06-23,103353.70647542016,103200.7187814422,-0.0014802342286034387,-0.14802342286034387,0,0.0,0.02890988842450814,0.002141470991038289,0.2141470991038289
